257	Chelyabinsk	Russian Federation	1062931	55.1544	61.4297
258	Sofia	Bulgaria	1062065	42.6833	23.3167
259	Datong	China	1052678	40.0936	113.291
260	Tbilisi	Georgia	1049516	41.725	44.7908
261	Xianyang	China	1034081	34.3378	108.703
262	Ufa	Russian Federation	1033350	54.7852	56.0456
263	Campinas	Brazil	1031573	-22.9	-47.0833
264	Ouagadougou	Burkina Faso	1031330	12.3703	-1.52472
265	Jabalpur	India	1030276	23.1667	79.95
266	Haora	India	1027771	22.5892	88.3103
267	Huainan	China	1027655	32.6264	116.997
268	Dublin	Ireland	1024027	53.3331	-6.24889
269	Kunming	China	1023674	25.0389	102.718
270	Brussels	Belgium	1019022	50.8333	4.33333
271	Aurangabad	India	1016520	19.8833	75.3333
272	Qom	Iran	1011103	34.6401	50.8764
273	Volgograd	Russian Federation	1010331	48.7194	44.5018
274	Shenzhen	China	1002592	22.5333	114.133
275	Nova Iguaçu	Brazil	1002129	-22.7592	-43.4319
276	Rongcheng	China	1001985	23.5289	116.364
277	Odesa	Ukraine	1001553	46.4639	30.7386
278	Kitakyushu	Japan	997545	33.8333	130.833
279	Sholapur	India	997358	17.6833	75.9167
280	Baoding	China	995652	38.8511	115.49
281	Benxi	China	987717	41.2886	123.765
282	Zapopan	Mexico	987555	20.7167	-103.4
283	Birmingham	United Kingdom	984336	52.4667	-1.91667
284	Perm	Russian Federation	982428	58.0093	56.2841
285	Naples	Italy	981284	40.8333	14.25
286	Srinagar	India	975926	34.0922	74.8022
287	Zaria	Nigeria	975228	11.1132	7.72518
288	Guatemala City	Guatemala	973208	14.6211	-90.5269
289	Mendoza	Argentina	973047	-32.8908	-68.8272
290	Cologne	Germany	968823	50.9333	6.95
291	Calgary	Canada	968475	51.0833	-114.083
292	Port Elizabeth	South Africa	967722	-33.918	25.5701
293	Maceió	Brazil	955010	-9.66667	-35.7167
294	Cartagena	Colombia	952036	10.3997	-75.5144
295	Changzhou	China	949018	31.7833	119.967
296	Ranchi	India	945079	23.35	85.3333
297	Marrakesh	Morocco	942631	31.6315	-8.00828
298	São Gonçalo	Brazil	939101	-22.8003	-43.0256
299	Monrovia	Liberia	935427	6.31056	-10.8047
300	Irbil	Iraq	932854	36.19	44.0089
301	Jodhpur	India	921540	26.2867	73.03
302	São Luís	Brazil	917252	-2.51667	-44.2667
